Sample_Name,Sample,Degradation_Corrected,Ortho,Mono,Di,Pyro
BSLE_0001,Solid,No,74.57307681,14.69191972,2.069963049,8.665040428
BSLE_0002,Solid,No,90.21474094,2.233386531,0,7.551872528
BSLE_0003,Solid,No,57.19936345,25.14253374,0.580785826,17.07731698
BSLE_0004,Solid,No,58.07436419,19.33905329,0,22.58658251
BSLE_0005,Solid,No,67.73955837,17.75543062,0,14.50501101
BSLE_0006,Solid,No,63.53981415,15.78158153,0,20.67860432
BSLE_0007,Solid,No,70.81137485,14.4793698,0.496439432,14.21281591
BSLE_0008,Solid,No,64.86047092,20.30112639,1.003281869,13.83512082
BSLE_0009,Solid,No,92.15118087,1.772061027,1.453128988,4.623629115
BSLE_0010,Solid,No,88.09769501,1.684550238,0,10.21775476
BSLE_0011,Solid,No,71.09621121,15.54416627,1.262608269,12.09701424
BSLE_0012,Solid,No,55.83452374,30.52860845,12.96340489,0.673462917
BSLE_0013,Solid,No,58.73595506,28.24043231,10.0921967,2.931415929
BSLE_0014,Solid,No,44.9471656,41.95719298,11.94325581,1.152385616
BSLE_0016,Solid,No,57.18924036,23.8074041,0,19.00335553
BSLE_0017,Solid,No,59.52653262,15.44600992,0,25.02745746
BSLE_0050,Solid,No,94.53085119,0,0,5.46914881
BSLE_0051,Solid,No,82.79622031,4.246245577,0,12.95753412
BSLE_0052,Solid,No,79.30411646,9.421818914,0,11.27406462
BSLE_0058,Solid,No,97.15468147,0,0,2.845318531
BSLE_0067,Solid,No,98.10173209,0,0,1.898267913
BSLE_0068,Solid,No,97.29493449,0.15426336,0,2.550802148
BSLE_0071,Solid,No,97.44201841,0,0,2.557981595
BSLE_0072,Solid,No,98.84065705,0,0,1.159342948
BSLE_0073,Solid,No,95.74714021,0.7211667,0,3.531693088
BSLE_0001,Solid,Yes,74.57307681,14.69191972,2.069963049,8.665040428
BSLE_0002,Solid,Yes,90.21474094,2.233386531,0,7.551872528
BSLE_0003,Solid,Yes,57.19936345,25.14253374,0.580785826,17.07731698
BSLE_0004,Solid,Yes,58.07436419,19.33905329,0,22.58658251
BSLE_0005,Solid,Yes,67.73955837,17.75543062,0,14.50501101
BSLE_0006,Solid,Yes,63.53981415,15.78158153,0,20.67860432
BSLE_0007,Solid,Yes,70.81137485,14.4793698,0.496439432,14.21281591
BSLE_0008,Solid,Yes,64.86047092,20.30112639,1.003281869,13.83512082
BSLE_0009,Solid,Yes,92.15118087,1.772061027,1.453128988,4.623629115
BSLE_0010,Solid,Yes,88.09769501,1.684550238,0,10.21775476
BSLE_0011,Solid,Yes,71.09621121,15.54416627,1.262608269,12.09701424
BSLE_0012,Solid,Yes,55.83452374,30.52860845,12.96340489,0.673462917
BSLE_0013,Solid,Yes,58.73595506,28.24043231,10.0921967,2.931415929
BSLE_0014,Solid,Yes,44.9471656,41.95719298,11.94325581,1.152385616
BSLE_0016,Solid,Yes,57.18924036,23.8074041,0,19.00335553
BSLE_0017,Solid,Yes,59.52653262,15.44600992,0,25.02745746
BSLE_0050,Solid,Yes,94.53085119,0,0,5.46914881
BSLE_0051,Solid,Yes,82.79622031,4.246245577,0,12.95753412
BSLE_0052,Solid,Yes,79.30411646,9.421818914,0,11.27406462
BSLE_0058,Solid,Yes,97.15468147,0,0,2.845318531
BSLE_0067,Solid,Yes,98.10173209,0,0,1.898267913
BSLE_0068,Solid,Yes,97.29493449,0.15426336,0,2.550802148
BSLE_0071,Solid,Yes,97.44201841,0,0,2.557981595
BSLE_0072,Solid,Yes,98.84065705,0,0,1.159342948
BSLE_0073,Solid,Yes,95.74714021,0.7211667,0,3.531693088
BSLE_0001,Leachate,No,96.17136211,3.264771911,0,0.563865978
BSLE_0002,Leachate,No,90.76617308,6.025770023,0,3.208056902
BSLE_0003,Leachate,No,77.92507905,13.76050865,0.005625442,8.308786857
BSLE_0004,Leachate,No,74.28371967,14.05760921,0,11.65867112
BSLE_0005,Leachate,No,82.16394549,10.99096656,0,6.845087951
BSLE_0006,Leachate,No,80.90124964,10.71710819,0,8.381642167
BSLE_0007,Leachate,No,80.2802295,12.67528423,0,7.044486268
BSLE_0008,Leachate,No,77.40574209,14.02158927,0.104195202,8.468473437
BSLE_0009,Leachate,No,85.36741285,11.93136486,2.093696098,0.607526195
BSLE_0010,Leachate,No,92.68493168,3.963839034,0,3.351229289
BSLE_0011,Leachate,No,77.07032941,18.56681316,2.419189927,1.943667504
BSLE_0012,Leachate,No,99.06070613,0,0,0.939293867
BSLE_0013,Leachate,No,98.66835222,0,0,1.331647779
BSLE_0014,Leachate,No,86.51142428,11.67470178,0.855130618,0.958743316
BSLE_0016,Leachate,No,77.86021996,15.11072083,0,7.029059203
BSLE_0017,Leachate,No,83.4334013,9.078008985,0,7.488589711
BSLE_0050,Leachate,No,97.66590241,1.328104608,0,1.005992978
BSLE_0051,Leachate,No,92.4128822,0,0,7.587117796
BSLE_0052,Leachate,No,89.93882909,4.988478314,0.096383055,4.976309542
BSLE_0058,Leachate,No,93.11026027,6.046987115,0,0.842752617
BSLE_0001,Leachate,Yes,94.99929011,0,4.443715928,0.556993958
BSLE_0002,Leachate,Yes,90.76617308,0.992691804,5.033078219,3.208056902
BSLE_0003,Leachate,Yes,77.92507905,3.160924207,10.60520989,8.308786857
BSLE_0004,Leachate,Yes,74.28371967,9.793046135,4.264563077,11.65867112
BSLE_0005,Leachate,Yes,82.16394549,4.42812315,6.562843405,6.845087951
BSLE_0006,Leachate,Yes,80.90124964,7.362486685,3.354621506,8.381642167
BSLE_0007,Leachate,Yes,80.2802295,5.516181044,7.159103185,7.044486268
BSLE_0008,Leachate,Yes,77.40574209,2.05863855,12.06714592,8.468473437
BSLE_0009,Leachate,Yes,85.36741285,6.815608316,7.209452643,0.607526195
BSLE_0010,Leachate,Yes,80.98283051,0,16.08905562,2.928113865
BSLE_0011,Leachate,Yes,77.07032941,11.51118854,9.47481455,1.943667504
BSLE_0012,Leachate,Yes,98.26710271,0,0.801128377,0.931768917
BSLE_0013,Leachate,Yes,97.18478257,0,1.503592199,1.311625227
BSLE_0014,Leachate,Yes,86.51142428,8.999468176,3.530364224,0.958743316
BSLE_0016,Leachate,Yes,77.70805257,10.79523744,4.481388145,7.015321846
BSLE_0017,Leachate,Yes,83.4334013,7.390518137,1.687490848,7.488589711
BSLE_0050,Leachate,Yes,95.3347527,0,3.683265975,0.98198132
BSLE_0051,Leachate,Yes,87.7658028,0,5.028605633,7.205591563
BSLE_0052,Leachate,Yes,89.67176673,0,5.366700269,4.961532999
BSLE_0058,Leachate,Yes,93.11026027,3.670006815,2.3769803,0.842752617