Parent_ID,Sum,Area,Percent,Species
BSLE_0001,223048.93,7987.56,3.6,AlphaGP
BSLE_0001,223048.93,6399.96,2.9,DNA
BSLE_0001,223048.93,1014.38,0.5,G6P
BSLE_0001,223048.93,157522.05,70.6,Ortho
BSLE_0001,223048.93,21666.98,9.7,Pyro
BSLE_0001,223048.93,31499.92,14.1,RNA
BSLE_0002,19355.35,113.74,0.6,AlphaGP
BSLE_0002,19355.35,327.42,1.7,BetaGP
BSLE_0002,19355.35,17207.27,88.9,Ortho
BSLE_0002,19355.35,1583.87,8.2,Pyro
BSLE_0002,19355.35,123.05,0.6,RNA
BSLE_0003,9822.52,489.33,5.0,AlphaGP
BSLE_0003,9822.52,233.61,2.4,DNA
BSLE_0003,9822.52,141.03,1.4,G6P
BSLE_0003,9822.52,1337.36,13.6,Phytate
BSLE_0003,9822.52,5477.8,55.8,Ortho
BSLE_0003,9822.52,1881.28,19.2,Pyro
BSLE_0003,9822.52,772.63,7.9,RNA
BSLE_0004,14702.53,577.47,3.9,AlphaGP
BSLE_0004,14702.53,134.51,0.9,BetaGP
BSLE_0004,14702.53,362.44,2.5,G6P
BSLE_0004,14702.53,576.9,3.9,Phytate
BSLE_0004,14702.53,8214.4,55.9,Ortho
BSLE_0004,14702.53,3754.5,25.5,Pyro
BSLE_0004,14702.53,994.82,6.8,RNA
BSLE_0005,63781.53,3726.37,5.8,AlphaGP
BSLE_0005,63781.53,1005.26,1.6,G6P
BSLE_0005,63781.53,3459.48,5.4,Phytate
BSLE_0005,63781.53,42490.21,66.6,Ortho
BSLE_0005,63781.53,10010.65,15.7,Pyro
BSLE_0005,63781.53,4611.22,7.2,RNA
BSLE_0005,63781.53,369.93,0.6,Unknown Monoester
BSLE_0005,63781.53,244.82,0.4,Unknown Monoester
BSLE_0006,155008.49,632.84,0.4,AlphaGP
BSLE_0006,155008.49,3797.2,2.4,BetaGP
BSLE_0006,155008.49,3690.97,2.4,G6P
BSLE_0006,155008.49,6627.11,4.3,Phytate
BSLE_0006,155008.49,96925.22,62.5,Ortho
BSLE_0006,155008.49,34009.65,21.9,Pyro
BSLE_0006,155008.49,1044.12,0.7,Unknown Monoester
BSLE_0006,155008.49,1046.33,0.7,Unknown Monoester
BSLE_0006,155008.49,5805.55,3.7,Unknown Monoester
BSLE_0006,155008.49,871.85,0.6,Unknown Monoester
BSLE_0007,19386.62,698.81,3.6,AlphaGP
BSLE_0007,19386.62,376.51,1.9,DNA
BSLE_0007,19386.62,116.29,0.6,G6P
BSLE_0007,19386.62,649.94,3.4,Phytate
BSLE_0007,19386.62,13293.91,68.6,Ortho
BSLE_0007,19386.62,3281.2,16.9,Pyro
BSLE_0007,19386.62,1491.82,7.7,RNA
BSLE_0008,14538.15,713.9,4.9,AlphaGP
BSLE_0008,14538.15,367.3,2.5,DNA
BSLE_0008,14538.15,134.33,0.9,G6P
BSLE_0008,14538.15,531.11,3.7,Phytate
BSLE_0008,14538.15,9146.44,62.9,Ortho
BSLE_0008,14538.15,2387.42,16.4,Pyro
BSLE_0008,14538.15,1609.71,11.1,RNA
BSLE_0009,58008.13,618.24,1.1,AlphaGP
BSLE_0009,58008.13,983.44,1.7,DNA
BSLE_0009,58008.13,1534.85,2.6,Phytate
BSLE_0009,58008.13,52244.38,90.1,Ortho
BSLE_0009,58008.13,3173.36,5.5,Pyro
BSLE_0009,58008.13,1148.31,2.0,RNA
BSLE_0010,7567.76,52,0.7,AlphaGP
BSLE_0010,7567.76,6428.67,84.9,Ortho
BSLE_0010,7567.76,857.79,11.3,Pyro
BSLE_0010,7567.76,229.3,3.0,RNA
BSLE_0011,20297.74,323.51,1.6,AlphaGP
BSLE_0011,20297.74,538.06,2.7,DNA
BSLE_0011,20297.74,928.76,4.6,G6P
BSLE_0011,20297.74,1705.85,8.4,Phytate
BSLE_0011,20297.74,14068.24,69.3,Ortho
BSLE_0011,20297.74,2903.84,14.3,Pyro
BSLE_0011,20297.74,469.41,2.3,RNA
BSLE_0012,9061.74,785.29,8.7,AlphaGP
BSLE_0012,9061.74,1367.28,15.1,BetaGP
BSLE_0012,9061.74,1081.92,11.9,DNA
BSLE_0012,9061.74,4983.52,55.0,Ortho
BSLE_0012,9061.74,190.95,2.1,Pyro
BSLE_0012,9061.74,577.65,6.4,RNA
BSLE_0012,9061.74,58.73,0.6,Unknown Monoester
BSLE_0013,14537.64,1146.65,7.9,AlphaGP
BSLE_0013,14537.64,1561.77,10.7,DNA
BSLE_0013,14537.64,99.53,0.7,G6P
BSLE_0013,14537.64,1799.11,12.4,Phytate
BSLE_0013,14537.64,8506.19,58.5,Ortho
BSLE_0013,14537.64,480.09,3.3,Pyro
BSLE_0013,14537.64,1762.02,12.1,RNA
BSLE_0013,14537.64,136.65,0.9,Unknown Monoester
BSLE_0014,6252.63,331.96,5.3,AlphaGP
BSLE_0014,6252.63,340.73,5.4,BetaGP
BSLE_0014,6252.63,883.41,14.1,DNA
BSLE_0014,6252.63,169.1,2.7,G6P
BSLE_0014,6252.63,1451.47,23.2,Phytate
BSLE_0014,6252.63,2799.29,44.8,Ortho
BSLE_0014,6252.63,52,0.8,Phosphocholine
BSLE_0014,6252.63,96.45,1.5,Pyro
BSLE_0014,6252.63,308.92,4.9,RNA
BSLE_0014,6252.63,54.86,0.9,ScylloIHP
BSLE_0014,6252.63,62.7,1.0,Unknown Monoester
BSLE_0016,13715.01,560.06,4.1,AlphaGP
BSLE_0016,13715.01,127.83,0.9,G6P
BSLE_0016,13715.01,1471.27,10.7,Phytate
BSLE_0016,13715.01,7822.86,57.0,Ortho
BSLE_0016,13715.01,2635.56,19.2,Pyro
BSLE_0016,13715.01,271.85,2.0,RNA
BSLE_0016,13715.01,104.32,0.8,Unknown Monoester
BSLE_0016,13715.01,693,5.1,Unknown Monoester
BSLE_0016,13715.01,408.1,3.0,Unknown Monoester
BSLE_0017,12670.83,385.05,3.0,AlphaGP
BSLE_0017,12670.83,212.32,1.7,G6P
BSLE_0017,12670.83,1054.79,8.3,Phytate
BSLE_0017,12670.83,7446.92,58.8,Ortho
BSLE_0017,12670.83,3291.57,26.0,Pyro
BSLE_0017,12670.83,224.14,1.8,RNA
BSLE_0017,12670.83,444.6,3.5,Unknown Monoester
BSLE_0017,12670.83,363.33,2.9,Unknown Monoester
BSLE_0050,13234.01,12468.26,94.2,Ortho
BSLE_0050,13234.01,765.75,5.8,Pyro
BSLE_0051,11749.6,139.47,1.2,AlphaGP
BSLE_0051,11749.6,241.55,2.1,BetaGP
BSLE_0051,11749.6,41.31,0.4,G6P
BSLE_0051,11749.6,9664.72,82.3,Ortho
BSLE_0051,11749.6,1589.22,13.5,Pyro
BSLE_0051,11749.6,24.23,0.2,RNA
BSLE_0051,11749.6,113.25,1.0,Unknown Monoester
BSLE_0052,38036.92,854.24,2.2,AlphaGP
BSLE_0052,38036.92,295.99,0.8,DNA
BSLE_0052,38036.92,139.43,0.4,G6P
BSLE_0052,38036.92,923.25,2.4,Phytate
BSLE_0052,38036.92,29576.38,77.8,Ortho
BSLE_0052,38036.92,4946.68,13.0,Pyro
BSLE_0052,38036.92,1698.21,4.5,RNA
BSLE_0058,2127.16,2022.43,95.1,Ortho
BSLE_0058,2127.16,79.68,3.7,Pyro
BSLE_0067,10643.72,10413.44,97.8,Ortho
BSLE_0067,10643.72,230.28,2.2,Pyro
BSLE_0068,53624.63,66.88,0.1,AlphaGP
BSLE_0068,53624.63,51832.74,96.7,Ortho
BSLE_0068,53624.63,1586.93,3.0,Pyro
BSLE_0068,53624.63,138.08,0.3,RNA
BSLE_0068,53624.63,54.96,0.1,Unknown Monoester
BSLE_0071,12400.53,11963.21,96.5,Ortho
BSLE_0071,12400.53,437.32,3.5,Pyro
BSLE_0072,60543.63,59187.1,97.8,Ortho
BSLE_0072,60543.63,746.73,1.2,Pyro
BSLE_0073,45463.42,92.84,0.2,AlphaGP
BSLE_0073,45463.42,43224.16,95.1,Ortho
BSLE_0073,45463.42,1744.22,3.8,Pyro
BSLE_0073,45463.42,402.2,0.9,RNA
BSLE_0073,45463.42,37.34,0.1,Unknown Monoester
,,,,
,,,,
,,,,