"","Parent_ID","Sample_ID","Land_Coverage_Category","Burn_Treatment","Burn_Severity","Char_leached_g","Leachate_vol_mL","C_weight_per","N_weight_per","Solid_Ca_mg_kg","Solid_Mg_mg_kg","Solid_P_mg_kg","Solid_K_mg_kg","Solid_Na_mg_kg","Solid_S_mg_kg","Solid_Al_mg_kg","Solid_Fe_mg_kg","Total_Extractable_Ca_mg_per_kg","Total_Extractable_Mg_mg_per_kg","Total_Extractable_P_mg_per_kg","Total_Extractable_K_mg_per_kg","Total_Extractable_S_mg_per_kg","Total_Extractable_Al_mg_per_kg","Total_Extractable_Fe_mg_per_kg","NPOC_mg_C_per_L","TN_mg_N_per_L","Leachate_Ca_mg_L_filt0.7","Leachate_Mg_mg_L_filt0.7","Leachate_P_mg_L_filt0.7","Leachate_K_mg_L_filt0.7","Leachate_Na_mg_L_filt0.7","Leachate_S_mg_L_filt0.7","Leachate_Al_mg_L_filt0.7","Leachate_Fe_mg_L_filt0.7","Leachate_Ca_mg_L_unfilt","Leachate_Mg_mg_L_unfilt","Leachate_P_mg_L_unfilt","Leachate_K_mg_L_unfilt","Leachate_Na_mg_L_unfilt","Leachate_S_mg_L_unfilt","Leachate_Al_mg_L_unfilt","Leachate_Fe_mg_L_unfilt","MBD_P_mg_per_L_filt0.7","pH","MBD_P_mg_kgchar","MBD_P_percentofsolid","Leachate_Ca_mg_L_part","Leachate_Mg_mg_L_part","Leachate_P_mg_L_part","Leachate_K_mg_L_part","Leachate_Na_mg_L_part","Leachate_S_mg_L_part","Leachate_Al_mg_L_part","Leachate_Fe_mg_L_part","Leachate_Ca_mg_kgchar_part","Leachate_Mg_mg_kgchar_part","Leachate_P_mg_kgchar_part","Leachate_K_mg_kgchar_part","Leachate_Na_mg_kgchar_part","Leachate_S_mg_kgchar_part","Leachate_Al_mg_kgchar_part","Leachate_Fe_mg_kgchar_part","Leachate_Ca_mg_kgchar_filt0.7","Leachate_Mg_mg_kgchar_filt0.7","Leachate_P_mg_kgchar_filt0.7","Leachate_K_mg_kgchar_filt0.7","Leachate_Na_mg_kgchar_filt0.7","Leachate_S_mg_kgchar_filt0.7","Leachate_Al_mg_kgchar_filt0.7","Leachate_Fe_mg_kgchar_filt0.7","Leachate_Ca_mg_kgchar_unfilt","Leachate_Mg_mg_kgchar_unfilt","Leachate_P_mg_kgchar_unfilt","Leachate_K_mg_kgchar_unfilt","Leachate_Na_mg_kgchar_unfilt","Leachate_S_mg_kgchar_unfilt","Leachate_Al_mg_kgchar_unfilt","Leachate_Fe_mg_kgchar_unfilt","Leachate_Ca_perc_solid_part","Leachate_Mg_perc_solid_part","Leachate_P_perc_solid_part","Leachate_K_perc_solid_part","Leachate_Na_perc_solid_part","Leachate_S_perc_solid_part","Leachate_Al_perc_solid_part","Leachate_Fe_perc_solid_part","Leachate_Ca_perc_solid_filt0.7","Leachate_Mg_perc_solid_filt0.7","Leachate_P_perc_solid_filt0.7","Leachate_K_perc_solid_filt0.7","Leachate_Na_perc_solid_filt0.7","Leachate_S_perc_solid_filt0.7","Leachate_Al_perc_solid_filt0.7","Leachate_Fe_perc_solid_filt0.7"
"1","BSLE_0001","BSLE_0001A","Douglas-fir forest","burn table","Low",25.1,1000,23.2,0.82,11120.49,1934.45,2123.76,8635,287.7,783.1,827.6,725.2,9536.39,1158.74,1363.87,6159.97,334.86,26.75,68.34,225.06,3.24,12.76,4.49,5.89,50.87,2.21,1.65,0.19,0.1,96.05,7.99,12.25,117.18,1.63,1.87,1.55,1.84,5.13,6.13,204.382470119522,9.62361425582561,83.29,3.5,6.36,66.31,-0.58,0.22,1.36,1.74,3318.32669322709,139.442231075697,253.386454183267,2641.83266932271,-23.1075697211155,8.76494023904383,54.1832669322709,69.3227091633466,508.366533864542,178.884462151394,234.661354581673,2026.69322709163,88.0478087649402,65.7370517928287,7.56972111553785,3.98406374501992,3826.69322709163,318.326693227092,488.04780876494,4668.52589641434,64.9402390438247,74.5019920318725,61.7529880478088,73.3067729083665,156.24772541281,6.56581869305841,11.9310305393861,124.394125010487,-1.08804995484968,0.412708603563672,2.55128954930269,3.26414986454904,23.9370990066929,8.42300740909493,11.0493348863183,95.4294848331089,4.14584551761688,3.09531452672753,0.356430157623171,0.187594819801669
"2","BSLE_0001","BSLE_0001B","Douglas-fir forest","burn table","Low",25.1,1000,23.2,0.82,11120.49,1934.45,2123.76,8635,287.7,783.1,827.6,725.2,9536.39,1158.74,1363.87,6159.97,334.86,26.75,68.34,189.06,2.59,9.42,3.51,5.24,44.3,1.09,1.48,0.16,0.09,19.27,5.83,8.33,60.41,1.25,2.22,1.06,1.26,4.59,6.1,182.868525896414,8.61060222889659,9.85,2.32,3.09,16.11,0.16,0.74,0.9,1.17,392.430278884462,92.4302788844622,123.107569721116,641.832669322709,6.37450199203187,29.4820717131474,35.8565737051793,46.6135458167331,375.298804780876,139.840637450199,208.764940239044,1764.94023904382,43.4262948207171,58.9641434262948,6.37450199203187,3.58565737051793,767.729083665339,232.270916334661,331.872509960159,2406.77290836653,49.800796812749,88.4462151394422,42.2310756972112,50.199203187251,18.4780897504644,4.35219981939871,5.79667993187156,30.2215254700488,0.30015171168267,1.38820166653235,1.68835337821502,2.19485939167952,17.6714320253172,6.58457817503857,9.82996855760744,83.1045051721393,2.04478353583819,2.7764033330647,0.30015171168267,0.168835337821502
"3","BSLE_0001","BSLE_0001C","Douglas-fir forest","burn table","Low",25,1000,23.2,0.82,11120.49,1934.45,2123.76,8635,287.7,783.1,827.6,725.2,9536.39,1158.74,1363.87,6159.97,334.86,26.75,68.34,168.24,1.69,9.53,3.68,5.35,45.75,2.38,1.5,0.16,0.08,12.9,4.23,6.55,49.49,0.92,1.64,1.21,1.45,4.73,6.04,189.2,8.90872791652541,3.37,0.55,1.2,3.74,-1.46,0.14,1.05,1.37,134.8,22,48,149.6,-58.4,5.6,42,54.8,381.2,147.2,214,1830,95.2,60,6.4,3.2,516,169.2,262,1979.6,36.8,65.6,48.4,58,6.3472332090255,1.03589859494482,2.26014238897051,7.04411044562474,-2.74983990658078,0.263683278713225,1.97762459034919,2.58032922740799,17.9492974724074,6.93110332617622,10.0764681508268,86.1679285795005,4.48261573812484,2.82517798621313,0.301352318529401,0.1506761592647
"4","BSLE_0051","BSLE_0051A","Douglas-fir forest","burn table","Low",16.6,640,9.23,0.41,19170.49,2484.45,2985.76,12630,NA,333,252.6,679.6,13543.38,557.04,899.49,9518.43,106.4,47.36,10.24,89.58,1.54,5.81,2.92,3.24,85.77,1.15,2.34,0.21,0.05,7.87,4.5,8.05,149.88,1.91,6.81,3.92,3.96,3.05,9.12,117.590361445783,3.93837285802553,2.06,1.58,4.81,64.11,0.76,4.47,3.71,3.91,79.421686746988,60.9156626506024,185.44578313253,2471.71084337349,29.3012048192771,172.33734939759,143.036144578313,150.746987951807,224,112.578313253012,124.915662650602,3306.79518072289,44.3373493975904,90.2168674698795,8.09638554216867,1.92771084337349,303.421686746988,173.493975903614,310.361445783133,5778.50602409638,73.6385542168675,262.55421686747,151.132530120482,152.674698795181,2.66001576640413,2.04020626743618,6.21100768757469,82.7833062059072,0.981365040032591,5.77197595913906,4.79061091910647,5.04886487700978,7.50227747709126,3.77050778538838,4.18371411803368,110.752209846836,1.48496025794405,3.02157130746877,0.271166655798479,0.0645634894758284
"5","BSLE_0051","BSLE_0051B","Douglas-fir forest","burn table","Low",16.3,640,9.23,0.41,19170.49,2484.45,2985.76,12630,NA,333,252.6,679.6,13543.38,557.04,899.49,9518.43,106.4,47.36,10.24,106.92,1.59,5.33,2.04,3.64,79.28,0.98,1.07,0.18,0.07,109.09,11.35,17.01,126.28,1.85,3.54,3.33,3.63,3.11,8.57,122.110429447853,4.08976037752039,103.76,9.31,13.37,47,0.87,2.47,3.15,3.56,4074.01226993865,365.546012269939,524.957055214724,1845.39877300613,34.159509202454,96.9815950920245,123.680981595092,139.779141104294,209.276073619632,80.0981595092024,142.920245398773,3112.83435582822,38.478527607362,42.0122699386503,7.06748466257669,2.74846625766871,4283.28834355828,445.644171779141,667.877300613497,4958.23312883436,72.6380368098159,138.993865030675,130.748466257669,142.527607361963,136.448082563188,12.2429804227379,17.5820245168642,61.8066680847133,1.14408087731278,3.24813766317536,4.14236179716695,4.68152634854424,7.00913916790472,2.68267240197479,4.78672918783737,104.256013739491,1.28873478134083,1.4070879755456,0.23670638840954,0.0920524843814878
"6","BSLE_0051","BSLE_0051C","Douglas-fir forest","burn table","Low",16.8,540,9.23,0.41,19170.49,2484.45,2985.76,12630,NA,333,252.6,679.6,13543.38,557.04,899.49,9518.43,106.4,47.36,10.24,171.36,3.36,6.64,2.74,4.96,91.33,1.31,1.6,0.17,0.09,72.06,6.1,10.33,99.86,1.3,1.93,2.94,2.83,4.27,8.11,137.25,4.59681957022667,65.42,3.36,5.37,8.53,-0.01,0.33,2.77,2.74,2102.78571428571,108,172.607142857143,274.178571428571,-0.321428571428572,10.6071428571429,89.0357142857143,88.0714285714286,213.428571428571,88.0714285714286,159.428571428571,2935.60714285714,42.1071428571429,51.4285714285714,5.46428571428571,2.89285714285714,2316.21428571429,196.071428571429,332.035714285714,3209.78571428571,41.7857142857143,62.0357142857143,94.5,90.9642857142857,70.4271513546204,3.61716949788328,5.78101196536704,9.18287375504299,-0.0107653854103669,0.355257718542108,2.98201175867164,2.94971560244054,7.14821591248364,2.94971560244054,5.33963116354199,98.3202649528811,1.41026548875807,1.72246166565871,0.183011551976238,0.0968884686933023
"7","BSLE_0052","BSLE_0052A","Douglas-fir forest","burn table","Moderate",13,520,16.09,0.7,14940.49,2386.45,2673.76,11650,269.6,525.5,1017,841.8,13317.05,1156.06,1583.5,9760.16,287.2,65.3,47.43,105.96,4.18,6.72,2.12,3.75,57.29,0.99,1.28,NA,0.09,32.34,4.27,5.95,60.64,1.04,1.45,2.66,2.73,2.89,7.81,115.6,4.323499491353,25.62,2.15,2.2,3.35,0.05,0.17,NA,2.64,1024.8,86,88,134,2,6.8,NA,105.6,268.8,84.8,150,2291.6,39.6,51.2,NA,3.6,1293.6,170.8,238,2425.6,41.6,58,106.4,109.2,38.3280473939321,3.21644425827299,3.29124528753516,5.0116689605649,0.0748010292621627,0.254323499491353,NA,3.94949434504219,10.0532583328347,3.1715636407157,5.6100771946622,85.707019328586,1.48106037939082,1.91490634911136,NA,0.134641852671893
"8","BSLE_0052","BSLE_0052B","Douglas-fir forest","burn table","Moderate",13.1,520,16.09,0.7,14940.49,2386.45,2673.76,11650,269.6,525.5,1017,841.8,13317.05,1156.06,1583.5,9760.16,287.2,65.3,47.43,156.78,4.7,6.95,3.62,5.87,103.48,1.48,2.28,0.14,0.15,50.59,6.26,10.56,102.48,1.47,2.68,2.86,3.11,4.27,8.7,169.496183206107,6.33924447991244,43.64,2.64,4.69,-1,-0.01,0.4,2.72,2.96,1732.27480916031,104.793893129771,186.167938931298,-39.6946564885496,-0.396946564885497,15.8778625954199,107.969465648855,117.496183206107,275.87786259542,143.69465648855,233.007633587786,4107.60305343511,58.7480916030534,90.5038167938931,5.55725190839695,5.95419847328244,2008.15267175573,248.488549618321,419.175572519084,4067.90839694657,58.3511450381679,106.381679389313,113.526717557252,123.450381679389,64.7879693450536,3.91934553324797,6.96277672383825,-1.48460058077575,-0.0148460058077575,0.593840232310299,4.03811357971003,4.39441771909621,10.3179740363914,5.37425410240821,8.71460540915364,153.626468098674,2.19720885954811,3.3848893241687,0.207844081308605,0.222690087116362
"9","BSLE_0052","BSLE_0052C","Douglas-fir forest","burn table","Moderate",13.1,520,16.09,0.7,14940.49,2386.45,2673.76,11650,269.6,525.5,1017,841.8,13317.05,1156.06,1583.5,9760.16,287.2,65.3,47.43,205.02,5.89,7.56,4.43,5.13,156.78,1.98,4.78,0.4,0.13,72.7,11.28,16.31,179.68,2.29,5.58,4.78,4.59,4.08,9.88,161.954198473282,6.05717036956505,65.14,6.85,11.18,22.9,0.31,0.8,4.38,4.46,2585.70992366412,271.908396946565,443.786259541985,909.007633587787,12.3053435114504,31.7557251908397,173.862595419847,177.038167938931,300.091603053435,175.847328244275,203.63358778626,6223.32824427481,78.5954198473282,189.740458015267,15.8778625954198,5.16030534351145,2885.80152671756,447.75572519084,647.419847328244,7132.3358778626,90.9007633587786,221.496183206107,189.740458015267,182.198473282443,96.7068818317322,10.1695139783139,16.5978344930728,33.9973532997646,0.460226180040482,1.1876804646206,6.50255054379777,6.62131859025983,11.2235803906646,6.57678057283656,7.61600097937958,232.755679054022,2.93950914993598,7.09639077610807,0.593840232310299,0.192998075500847
"10","BSLE_0073","BSLE_0073A","Douglas-fir forest","burn table","High",1.0021,40,19.69,0.91,46550.49,7591.45,8169.76,33650,643.4,1656,3000,2855,38680.73,14.61,4752.85,26723.79,1495.22,111.15,4.64,163.68,4.1,9.49,5.72,1.6,345.58,5.28,22.62,0.24,0.08,867.69,123.3,156.68,671.88,11.32,40.02,42.65,38.33,2.25,10.72,89.8113960682567,1.09931498683262,858.2,117.58,155.08,326.3,6.04,17.4,42.41,38.25,34256.0622692346,4693.34397764694,6190.20057878455,13024.6482386987,241.093703223231,694.541462927852,1692.84502544656,1526.79373316036,378.804510527891,228.320526893524,63.8658816485381,13794.2321125636,210.757409440176,902.903901806207,9.57988224728071,3.1932940824269,34634.8667797625,4921.66450454046,6254.06646043309,26818.8803512623,451.851112663407,1597.44536473406,1702.42490769384,1529.98702724279,419.303165199891,57.4477582896798,75.7696747368901,159.42510231266,2.95105000909734,8.5013692315056,20.7208660406984,18.6883547761545,4.6366663222407,2.79470298874782,0.781735101747641,168.845010288719,2.57972583576722,11.0517800009573,0.117260265262146,0.039086755087382
"11","BSLE_0073","BSLE_0073B","Douglas-fir forest","burn table","High",1.0736,40,19.69,0.91,46550.49,7591.45,8169.76,33650,643.4,1656,3000,2855,38680.73,14.61,4752.85,26723.79,1495.22,111.15,4.64,207.3,4.64,10.55,6.9,1.99,353.48,5.48,22.94,0.29,0.1,611.49,84.99,102.88,477.58,8.53,26.1,34,28.85,2.7,10.6,100.596125186289,1.23132289303834,600.94,78.09,100.89,124.1,3.05,3.16,33.71,28.75,22389.7168405365,2909.46348733234,3758.94187779434,4623.69597615499,113.636363636364,117.734724292101,1255.96125186289,1071.16244411326,393.070044709389,257.078986587183,74.1430700447094,13169.8956780924,204.172876304024,854.694485842027,10.8047690014903,3.725782414307,22782.7868852459,3166.54247391952,3833.08494783905,17793.5916542474,317.809239940387,972.429210134128,1266.76602086438,1074.88822652757,274.055992349059,35.6125943397644,46.0104321031993,56.5952485281696,1.39093882361738,1.4411038303708,15.3732943423417,13.1113085832786,4.81128019316833,3.14671405998687,0.907530576720851,161.202968974516,2.49912942735189,10.4616841356665,0.132253199622637,0.0456045515940126
"12","BSLE_0073","BSLE_0073C","Douglas-fir forest","burn table","High",1.0195,40,19.69,0.91,46550.49,7591.45,8169.76,33650,643.4,1656,3000,2855,38680.73,14.61,4752.85,26723.79,1495.22,111.15,4.64,168.06,5.86,9.54,3.94,1.05,532.38,7.37,37.09,0.19,0.02,1078.99,156.2,182.98,806.08,13.74,44.19,60.51,57.21,NA,11,NA,NA,1069.45,152.26,181.93,273.7,6.37,7.09999999999999,60.32,57.19,41959.7842079451,5973.90877881314,7138.00882785679,10738.597351643,249.926434526729,278.567925453654,2366.65031878372,2243.84502206964,374.301128003923,154.585581167239,41.1966650318784,20887.8862187347,289.161353604708,1455.22314860226,7.45463462481609,0.784698381559588,42334.085335949,6128.49435998038,7179.20549288867,31626.4835703776,539.087788131437,1733.79107405591,2374.10495340853,2244.6297204512,513.598737391858,73.1222065129593,87.3710956975087,131.443241314836,3.05916495131716,3.40974429424675,28.96841913084,27.46525016732,4.58154374184705,1.89216796046933,0.504257959008323,255.673192587477,3.53941062656318,17.812312094875,0.0912466782967442,0.00960491350492044
"13","BSLE_0068","BSLE_0068A","Sagebrush shrubland","burn table","Moderate",6,240,13.4,0.6,43920.49,12042.45,11985.76,98320,1872,5045,9541,11030,34784.31,1209.27,8139.5,87855.3,4879.75,29.25,21.6,327.66,19,18.57,39.08,2.46,1804.98,16.93,101.29,NA,0.06,288.49,80.63,80.54,1828.98,18.36,108.79,18.33,22.08,2.61,10.72,104.4,0.871033626570196,269.92,41.55,78.08,24,1.43,7.5,NA,22.02,10796.8,1662,3123.2,960,57.2,300,NA,880.8,742.8,1563.2,98.4,72199.2,677.2,4051.6,NA,2.4,11539.6,3225.2,3221.6,73159.2,734.4,4351.6,733.2,883.2,90.0802285378649,13.8664548597669,26.0575883381613,8.00950461213974,0.477232983139993,2.50297019129367,NA,7.34872048163821,6.19735419364312,13.0421433434342,0.820974222744323,602.374818117499,5.65003804514691,33.8034467568181,NA,0.0200237615303493
"14","BSLE_0068","BSLE_0068B","Sagebrush shrubland","burn table","Moderate",6,240,13.4,0.6,43920.49,12042.45,11985.76,98320,1872,5045,9541,11030,34784.31,1209.27,8139.5,87855.3,4879.75,29.25,21.6,452.58,25.35,21.1,39.15,2.68,1621.98,14.81,94.03,NA,0.14,268.79,79.47,77.4,1765.98,17.31,107.29,14.13,18.58,1.35,10.63,54,0.45053463443286,247.69,40.32,74.72,144,2.5,13.26,NA,18.44,9907.6,1612.8,2988.8,5760,99.9999999999999,530.4,NA,737.6,844,1566,107.2,64879.2,592.4,3761.2,NA,5.6,10751.6,3178.8,3096,70639.2,692.4,4291.6,565.2,743.2,82.6614248908705,13.4559677483948,24.9362576924617,48.0570276728384,0.834323397097889,4.42525129820721,NA,6.15396937699403,7.04168947150619,13.0655043985529,0.894394681688938,541.302345449934,4.9425318044079,31.3805716116458,NA,0.0467221102374818
"15","BSLE_0068","BSLE_0068C","Sagebrush shrubland","burn table","Moderate",6.1,240,13.4,0.6,43920.49,12042.45,11985.76,98320,1872,5045,9541,11030,34784.31,1209.27,8139.5,87855.3,4879.75,29.25,21.6,464.82,25.54,22.52,45.9,2.57,1893.98,17.25,111.69,NA,0.13,454.69,119.3,129.08,2127.98,22.88,113.29,38.03,46.33,0.93,10.69,36.5901639344262,0.305280298741392,432.17,73.4,126.51,234,5.63,1.60000000000001,NA,46.2,17003.4098360656,2887.86885245902,4977.44262295082,9206.55737704918,221.508196721311,62.9508196721315,NA,1817.70491803279,886.032786885246,1805.90163934426,101.114754098361,74517.2459016394,678.688524590164,4394.36065573771,NA,5.11475409836066,17889.4426229508,4693.77049180328,5078.55737704918,83723.8032786885,900.196721311475,4457.31147540984,1496.26229508197,1822.81967213115,141.863426566739,24.0941655135679,41.5279683804016,76.8124622639631,1.84809471173552,0.525213417189494,NA,15.1655374213466,7.39237884694209,15.0670599056235,0.84362405136062,621.714817430345,5.6624571540742,36.6631791036839,NA,0.0426735901466462
"16","BSLE_0009","BSLE_0009A","Sagebrush shrubland","burn table","Low",25,1000,21.36,0.99,23460.49,5698.45,5855.76,48460,940.7,3120.5,4464.5,4546,19824.54,3924.14,4912.24,41681.79,2750.55,204.45,320.94,381.42,17.39,19.76,10.52,10.59,293.88,3.33,15.34,0.12,0.41,30.86,10.8,12.2,269.23,2.76,14.4,1.78,2.48,8.92,7.21,356.8,6.0931458939574,11.1,0.280000000000001,1.61,-24.65,-0.57,-0.94,1.66,2.07,444,11.2,64.4,-985.999999999999,-22.8,-37.6,66.4,82.8,790.4,420.8,423.6,11755.2,133.2,613.6,4.8,16.4,1234.4,432,488,10769.2,110.4,576,71.2,99.2,7.58227796221156,0.191264669317049,1.09977184857303,-16.8381217809473,-0.389360219681135,-0.64210281842152,1.13392625380822,1.41399237673675,13.497820948946,7.18608686148339,7.23390302881266,200.745932210336,2.27468338866347,10.4785715261554,0.0819705725644494,0.280066122928535
